"R","G","B","Lightness","Saturation","Hue","outcome"
172,58,62,"dark","bright",4,"event"
26,88,151,"dark","bright",31,"event"
172,94,58,"dark","bright",8,"event"
28,87,152,"dark","bright",32,"non_event"
170,66,58,"dark","bright",5,"non_event"
175,89,65,"dark","bright",6,"non_event"
90,78,136,"dark","bright",34,"non_event"
194,106,53,"dark","bright",10,"non_event"
171,68,107,"dark","bright",1,"non_event"
122,151,59,"dark","bright",21,"non_event"
0,121,88,"dark","bright",24,"non_event"
88,140,58,"dark","bright",22,"non_event"
144,82,132,"dark","bright",36,"non_event"
214,163,50,"dark","bright",16,"non_event"
0,124,117,"dark","bright",26,"non_event"
194,127,56,"dark","bright",12,"non_event"
155,152,61,"dark","bright",19,"non_event"
187,133,47,"dark","bright",14,"non_event"
96,92,88,"dark","gray",11,"event"
91,76,68,"dark","gray",3,"event"
89,78,64,"dark","gray",12,"event"
82,94,104,"dark","gray",31,"event"
99,88,76,"dark","gray",6,"event"
96,80,75,"dark","gray",2,"event"
94,82,65,"dark","gray",13,"non_event"
101,100,87,"dark","gray",16,"non_event"
94,91,77,"dark","gray",18,"non_event"
91,90,77,"dark","gray",19,"non_event"
160,64,62,"dark","muted",4,"event"
35,78,134,"dark","muted",31,"event"
144,63,69,"dark","muted",3,"event"
55,72,116,"dark","muted",32,"event"
147,95,67,"dark","muted",8,"non_event"
164,73,61,"dark","muted",5,"non_event"
145,91,65,"dark","muted",7,"non_event"
4,98,122,"dark","muted",29,"non_event"
0,94,136,"dark","muted",30,"non_event"
105,72,120,"dark","muted",35,"non_event"
106,125,78,"dark","muted",22,"non_event"
195,158,68,"dark","muted",17,"non_event"
83,115,76,"dark","muted",23,"non_event"
131,69,93,"dark","muted",1,"non_event"
134,139,83,"dark","muted",21,"non_event"
161,123,77,"dark","muted",13,"non_event"
151,119,77,"dark","muted",14,"non_event"
162,139,54,"dark","muted",18,"non_event"
45,83,103,"dark","neutral",30,"event"
99,73,62,"dark","neutral",7,"event"
109,71,65,"dark","neutral",5,"event"
46,81,105,"dark","neutral",31,"event"
118,96,78,"dark","neutral",11,"event"
65,82,65,"dark","neutral",25,"non_event"
74,91,81,"dark","neutral",26,"non_event"
90,72,75,"dark","neutral",2,"non_event"
74,67,84,"dark","neutral",36,"non_event"
59,82,87,"dark","neutral",28,"non_event"
92,68,80,"dark","neutral",1,"non_event"
84,100,92,"dark","neutral",24,"non_event"
93,88,62,"dark","neutral",19,"non_event"
82,87,70,"dark","neutral",23,"non_event"
87,89,63,"dark","neutral",20,"non_event"
116,106,81,"dark","neutral",18,"non_event"
135,114,82,"dark","neutral",15,"non_event"
216,111,60,"dark","pure",8,"event"
180,73,64,"dark","pure",5,"event"
65,169,79,"dark","pure",23,"event"
198,73,76,"dark","pure",4,"event"
255,188,53,"dark","pure",13,"event"
239,146,74,"dark","pure",10,"non_event"
168,199,77,"dark","pure",20,"non_event"
188,83,57,"dark","pure",7,"non_event"
0,149,94,"dark","pure",24,"non_event"
121,190,88,"dark","pure",22,"non_event"
247,183,78,"dark","pure",12,"non_event"
237,155,68,"dark","pure",11,"non_event"
131,89,149,"dark","pure",35,"non_event"
239,204,68,"dark","pure",17,"non_event"
0,147,139,"dark","pure",26,"non_event"
201,204,74,"dark","pure",19,"non_event"
0,139,109,"dark","pure",25,"non_event"
217,199,55,"dark","pure",18,"non_event"
49,77,103,"dark","shaded",32,"event"
42,75,110,"dark","shaded",31,"event"
108,72,58,"dark","shaded",8,"event"
