"R","G","B","Lightness","Saturation","Hue","y"
172,58,62,"dark","bright",4,-1.99243016469021
26,88,151,"dark","bright",31,-2.19722457733622
172,94,58,"dark","bright",8,-1.65822807660353
28,87,152,"dark","bright",32,-2.19722457733622
170,66,58,"dark","bright",5,-2.09074109693377
175,89,65,"dark","bright",6,-1.65822807660353
90,78,136,"dark","bright",34,-2.19722457733622
194,106,53,"dark","bright",10,-1.450010175506
171,68,107,"dark","bright",1,-1.81528996663825
122,151,59,"dark","bright",21,-1.09861228866811
0,121,88,"dark","bright",24,-1.81528996663825
88,140,58,"dark","bright",22,-1.450010175506
144,82,132,"dark","bright",36,-1.81528996663825
214,163,50,"dark","bright",16,-0.489548225318706
0,124,117,"dark","bright",26,-1.73460105538811
194,127,56,"dark","bright",12,-1.09861228866811
155,152,61,"dark","bright",19,-0.944461608840851
187,133,47,"dark","bright",14,-1.09861228866811
96,92,88,"dark","gray",11,-2.09074109693377
91,76,68,"dark","gray",3,-2.4423470353692
89,78,64,"dark","gray",12,-2.58668934409794
82,94,104,"dark","gray",31,-2.09074109693377
99,88,76,"dark","gray",6,-2.19722457733622
96,80,75,"dark","gray",2,-2.31363492918063
94,82,65,"dark","gray",13,-2.4423470353692
101,100,87,"dark","gray",16,-1.90095876119305
94,91,77,"dark","gray",18,-2.19722457733622
91,90,77,"dark","gray",19,-2.19722457733622
160,64,62,"dark","muted",4,-2.09074109693377
35,78,134,"dark","muted",31,-2.4423470353692
144,63,69,"dark","muted",3,-2.31363492918063
55,72,116,"dark","muted",32,-2.75153531304195
147,95,67,"dark","muted",8,-1.81528996663825
164,73,61,"dark","muted",5,-1.99243016469021
145,91,65,"dark","muted",7,-1.90095876119305
4,98,122,"dark","muted",29,-2.09074109693377
0,94,136,"dark","muted",30,-2.19722457733622
105,72,120,"dark","muted",35,-2.31363492918063
106,125,78,"dark","muted",22,-1.51634748936809
195,158,68,"dark","muted",17,-0.663294217410264
83,115,76,"dark","muted",23,-1.73460105538811
131,69,93,"dark","muted",1,-2.19722457733622
134,139,83,"dark","muted",21,-1.20831120592453
161,123,77,"dark","muted",13,-1.3249254147436
151,119,77,"dark","muted",14,-1.38629436111989
162,139,54,"dark","muted",18,-1.04596855518269
45,83,103,"dark","neutral",30,-2.4423470353692
99,73,62,"dark","neutral",7,-2.58668934409794
109,71,65,"dark","neutral",5,-2.58668934409794
46,81,105,"dark","neutral",31,-2.4423470353692
118,96,78,"dark","neutral",11,-1.90095876119305
65,82,65,"dark","neutral",25,-2.58668934409794
74,91,81,"dark","neutral",26,-2.4423470353692
90,72,75,"dark","neutral",2,-2.4423470353692
74,67,84,"dark","neutral",36,-2.75153531304195
59,82,87,"dark","neutral",28,-2.58668934409794
92,68,80,"dark","neutral",1,-2.58668934409794
84,100,92,"dark","neutral",24,-1.99243016469021
93,88,62,"dark","neutral",19,-2.31363492918063
82,87,70,"dark","neutral",23,-2.31363492918063
87,89,63,"dark","neutral",20,-2.31363492918063
116,106,81,"dark","neutral",18,-1.81528996663825
135,114,82,"dark","neutral",15,-1.58562726374038
216,111,60,"dark","pure",8,-1.04596855518269
180,73,64,"dark","pure",5,-1.90095876119305
65,169,79,"dark","pure",23,-0.944461608840851
198,73,76,"dark","pure",4,-1.58562726374038
255,188,53,"dark","pure",13,0.241162056816888
239,146,74,"dark","pure",10,-0.489548225318706
168,199,77,"dark","pure",20,-0.0800427076735365
188,83,57,"dark","pure",7,-1.73460105538811
0,149,94,"dark","pure",24,-1.26566637333128
121,190,88,"dark","pure",22,-0.405465108108164
247,183,78,"dark","pure",12,0.0800427076735366
237,155,68,"dark","pure",11,-0.447312218043665
