R,G,B,Lightness,Saturation,Hue,response,outcome
172,58,62,dark,bright,4,12,1
26,88,151,dark,bright,31,10,1
172,94,58,dark,bright,8,16,1
28,87,152,dark,bright,32,10,0
170,66,58,dark,bright,5,11,0
175,89,65,dark,bright,6,16,0
90,78,136,dark,bright,34,10,0
194,106,53,dark,bright,10,19,0
171,68,107,dark,bright,1,14,0
122,151,59,dark,bright,21,25,0
0,121,88,dark,bright,24,14,0
88,140,58,dark,bright,22,19,0
144,82,132,dark,bright,36,14,0
214,163,50,dark,bright,16,38,0
0,124,117,dark,bright,26,15,0
194,127,56,dark,bright,12,25,0
155,152,61,dark,bright,19,28,0
187,133,47,dark,bright,14,25,0
96,92,88,dark,gray,11,11,1
91,76,68,dark,gray,3,8,1
89,78,64,dark,gray,12,7,1
82,94,104,dark,gray,31,11,1
99,88,76,dark,gray,6,10,1
96,80,75,dark,gray,2,9,1
94,82,65,dark,gray,13,8,0
101,100,87,dark,gray,16,13,0
94,91,77,dark,gray,18,10,0
91,90,77,dark,gray,19,10,0
160,64,62,dark,muted,4,11,1
35,78,134,dark,muted,31,8,1
144,63,69,dark,muted,3,9,1
55,72,116,dark,muted,32,6,1
147,95,67,dark,muted,8,14,0
164,73,61,dark,muted,5,12,0
145,91,65,dark,muted,7,13,0
4,98,122,dark,muted,29,11,0
0,94,136,dark,muted,30,10,0
105,72,120,dark,muted,35,9,0
106,125,78,dark,muted,22,18,0
195,158,68,dark,muted,17,34,0
83,115,76,dark,muted,23,15,0
131,69,93,dark,muted,1,10,0
134,139,83,dark,muted,21,23,0
161,123,77,dark,muted,13,21,0
151,119,77,dark,muted,14,20,0
162,139,54,dark,muted,18,26,0
45,83,103,dark,neutral,30,8,1
99,73,62,dark,neutral,7,7,1
109,71,65,dark,neutral,5,7,1
46,81,105,dark,neutral,31,8,1
118,96,78,dark,neutral,11,13,1
65,82,65,dark,neutral,25,7,0
74,91,81,dark,neutral,26,8,0
90,72,75,dark,neutral,2,8,0
74,67,84,dark,neutral,36,6,0
59,82,87,dark,neutral,28,7,0
92,68,80,dark,neutral,1,7,0
84,100,92,dark,neutral,24,12,0
93,88,62,dark,neutral,19,9,0
82,87,70,dark,neutral,23,9,0
87,89,63,dark,neutral,20,9,0
116,106,81,dark,neutral,18,14,0
135,114,82,dark,neutral,15,17,0
216,111,60,dark,pure,8,26,1
180,73,64,dark,pure,5,13,1
65,169,79,dark,pure,23,28,1
198,73,76,dark,pure,4,17,1
255,188,53,dark,pure,13,56,1
239,146,74,dark,pure,10,38,0
168,199,77,dark,pure,20,48,0
188,83,57,dark,pure,7,15,0
0,149,94,dark,pure,24,22,0
121,190,88,dark,pure,22,40,0
247,183,78,dark,pure,12,52,0
237,155,68,dark,pure,11,39,0
131,89,149,dark,pure,35,15,0
239,204,68,dark,pure,17,59,0
0,147,139,dark,pure,26,22,0
201,204,74,dark,pure,19,53,0
0,139,109,dark,pure,25,19,0
217,199,55,dark,pure,18,53,0
49,77,103,dark,shaded,32,8,1
42,75,110,dark,shaded,31,7,1
108,72,58,dark,shaded,8,8,1
44,77,105,dark,shaded,30,6,1
113,81,69,dark,shaded,6,10,0
57,86,72,dark,shaded,24,7,0
80,89,79,dark,shaded,23,9,0
96,64,70,dark,shaded,2,9,0
116,86,61,dark,shaded,10,10,0
95,69,97,dark,shaded,36,7,0
150,120,89,dark,shaded,12,20,0
121,116,71,dark,shaded,19,16,0
84,79,102,dark,shaded,35,8,0
70,75,106,dark,shaded,34,7,0
113,113,78,dark,shaded,20,16,0
114,102,71,dark,shaded,18,13,0
139,113,75,dark,shaded,14,17,0
130,113,77,dark,shaded,17,17,0
113,66,74,dark,subdued,2,7,1
43,77,104,dark,subdued,30,7,1
145,73,62,dark,subdued,6,10,1
155,66,63,dark,subdued,5,10,1
129,62,69,dark,subdued,3,7,1
140,79,66,dark,subdued,7,10,0
48,90,74,dark,subdued,25,8,0
143,76,58,dark,subdued,8,10,0
45,83,96,dark,subdued,28,8,0
128,91,72,dark,subdued,9,12,0
147,102,71,dark,subdued,10,16,0
109,114,68,dark,subdued,21,15,0
151,112,67,dark,subdued,12,17,0
140,132,73,dark,subdued,19,22,0
117,125,67,dark,subdued,20,18,0
164,132,84,dark,subdued,15,24,0
167,138,80,dark,subdued,16,26,0
174,149,80,dark,subdued,17,30,0
195,124,89,deep,bright,8,26,0
150,175,84,deep,bright,21,36,0
216,129,103,deep,bright,7,30,0
53,111,173,deep,bright,32,17,0
206,118,57,deep,bright,10,25,0
28,112,173,deep,bright,31,16,0
204,129,73,deep,bright,11,28,0
118,165,91,deep,bright,22,30,0
195,112,95,deep,bright,6,23,0
26,149,151,deep,bright,27,25,0
208,146,88,deep,bright,12,33,0
206,152,68,deep,bright,14,34,0
204,151,77,deep,bright,13,34,0
228,193,77,deep,bright,17,52,0
130,120,173,deep,bright,34,22,0
227,179,76,deep,bright,16,46,0
43,152,144,deep,bright,26,25,0
166,162,63,deep,bright,19,33,0
116,111,103,deep,gray,11,16,1
88,89,96,deep,gray,33,10,1
130,117,102,deep,gray,12,18,1
118,104,89,deep,gray,7,14,1
132,117,103,deep,gray,6,18,1
101,110,114,deep,gray,30,15,1
127,114,107,deep,gray,3,17,1
120,109,94,deep,gray,14,16,1
116,114,97,deep,gray,16,16,0
121,102,96,deep,gray,2,14,0
102,101,86,deep,gray,19,13,0
121,110,84,deep,gray,15,15,0
27,125,141,deep,muted,28,18,1
40,100,146,deep,muted,31,13,0
98,112,153,deep,muted,33,17,0
77,134,129,deep,muted,26,20,0
178,125,80,deep,muted,10,24,0
52,118,153,deep,muted,30,17,0
198,115,99,deep,muted,5,25,0
183,115,94,deep,muted,6,21,0
101,142,100,deep,muted,23,22,0
175,138,91,deep,muted,14,27,0
177,99,94,deep,muted,4,17,0
192,152,86,deep,muted,16,33,0
136,103,147,deep,muted,35,17,0
43,123,102,deep,muted,25,16,0
166,110,73,deep,muted,9,19,0
169,88,108,deep,muted,2,17,0
161,108,148,deep,muted,36,21,0
181,159,85,deep,muted,18,35,0
115,97,87,deep,neutral,8,13,1
96,123,142,deep,neutral,31,17,1
98,113,136,deep,neutral,32,17,1
109,118,91,deep,neutral,21,16,1
129,107,86,deep,neutral,10,16,1
107,127,129,deep,neutral,28,20,0
141,114,90,deep,neutral,11,18,0
113,132,125,deep,neutral,26,21,0
115,123,108,deep,neutral,23,19,0
147,123,86,deep,neutral,14,20,0
129,111,107,deep,neutral,4,16,0
106,100,114,deep,neutral,36,17,0
142,116,108,deep,neutral,6,19,0
99,102,83,deep,neutral,22,13,0
156,136,102,deep,neutral,15,25,0
134,115,84,deep,neutral,16,18,0
110,111,130,deep,neutral,35,17,0
38,165,186,deep,pure,28,33,0
246,154,84,deep,pure,10,41,0
218,109,145,deep,pure,1,28,0
218,82,101,deep,pure,3,22,0
246,219,93,deep,pure,17,68,0
230,217,67,deep,pure,18,63,0
60,122,194,deep,pure,32,20,0
165,203,102,deep,pure,21,50,0
247,192,112,deep,pure,12,57,0
190,213,101,deep,pure,20,57,0
107,194,113,deep,pure,23,41,0
225,95,101,deep,pure,4,24,0
158,214,134,deep,pure,22,55,0
0,164,131,deep,pure,25,27,0
49,170,116,deep,pure,24,30,0
164,117,177,deep,pure,35,25,0
195,124,179,deep,pure,36,30,0
116,135,198,deep,pure,33,26,0
76,97,119,deep,shaded,32,12,1
58,95,125,deep,shaded,31,11,1
82,103,113,deep,shaded,29,13,1
110,86,74,deep,shaded,9,10,1
137,103,87,deep,shaded,8,15,1
166,137,102,deep,shaded,12,26,0
86,115,111,deep,shaded,27,15,0
156,103,87,deep,shaded,7,17,0
118,131,113,deep,shaded,23,21,0
139,140,107,deep,shaded,21,25,0
141,135,82,deep,shaded,19,23,0
147,98,91,deep,shaded,5,15,0
99,125,116,deep,shaded,24,18,0
160,133,92,deep,shaded,13,24,0
175,148,104,deep,shaded,14,31,0
140,108,111,deep,shaded,2,17,0
145,119,71,deep,shaded,16,19,0
141,121,79,deep,shaded,17,20,0
74,104,113,deep,subdued,28,13,1
29,92,131,deep,subdued,30,11,1
54,93,115,deep,subdued,29,11,1
50,99,149,deep,subdued,32,13,1
163,125,90,deep,subdued,11,23,0
86,116,95,deep,subdued,24,15,0
158,102,84,deep,subdued,8,17,0
155,91,85,deep,subdued,4,15,0
153,110,90,deep,subdued,9,19,0
114,144,103,deep,subdued,23,24,0
159,114,80,deep,subdued,10,19,0
178,137,89,deep,subdued,14,27,0
72,122,123,deep,subdued,27,17,0
127,131,83,deep,subdued,21,20,0
187,159,106,deep,subdued,16,35,0
177,148,102,deep,subdued,15,31,0
166,154,92,deep,subdued,19,31,0
96,106,136,deep,subdued,33,15,0
244,229,197,light,bright,15,77,0
244,232,209,light,bright,13,80,0
241,211,217,light,bright,2,69,0
246,229,185,light,bright,16,77,0
189,225,216,light,bright,25,69,0
197,229,226,light,bright,26,73,0
209,230,213,light,bright,23,74,0
242,219,214,light,bright,5,74,0
227,215,229,light,bright,35,71,0
240,237,209,light,bright,18,82,0
239,220,202,light,bright,11,73,0
243,224,216,light,bright,7,76,0
227,235,174,light,bright,20,77,0
243,202,203,light,bright,3,65,0
243,223,212,light,bright,8,75,0
218,222,233,light,bright,33,72,0
242,227,220,light,bright,6,78,0
234,224,232,light,bright,36,77,0
206,202,193,light,gray,10,60,1
207,201,188,light,gray,11,58,1
219,215,206,light,gray,14,68,1
217,220,221,light,gray,33,71,1
217,208,193,light,gray,12,63,1
185,192,192,light,gray,30,52,1
214,203,191,light,gray,5,60,1
189,187,173,light,gray,18,49,1
223,230,234,light,gray,32,78,1
217,202,195,light,gray,2,61,0
230,228,228,light,gray,1,78,0
217,220,209,light,gray,21,70,0
206,224,227,light,muted,28,73,1
190,209,225,light,muted,31,62,0
241,217,165,light,muted,16,69,0
241,233,207,light,muted,15,80,0
198,222,207,light,muted,24,68,0
246,230,203,light,muted,13,78,0
224,234,215,light,muted,22,79,0
236,201,202,light,muted,3,64,0
210,230,211,light,muted,23,74,0
205,226,222,light,muted,26,73,0
234,217,203,light,muted,10,70,0
229,221,231,light,muted,35,74,0
232,221,174,light,muted,18,70,0
220,223,229,light,muted,33,74,0
228,228,197,light,muted,21,74,0
235,209,205,light,muted,4,66,0
244,222,217,light,muted,5,75,0
234,221,225,light,muted,1,75,0
228,217,197,light,neutral,12,70,1
232,221,198,light,neutral,14,71,1
227,221,204,light,neutral,17,71,1
232,225,213,light,neutral,11,75,1
230,224,204,light,neutral,15,73,1
234,227,216,light,neutral,8,76,1
207,210,199,light,neutral,23,63,1
209,206,180,light,neutral,19,60,0
235,218,200,light,neutral,10,70,0
222,232,227,light,neutral,26,79,0
212,226,230,light,neutral,30,75,0
221,228,227,light,neutral,29,77,0
223,235,233,light,neutral,28,81,0
216,222,206,light,neutral,21,70,0
226,232,223,light,neutral,25,78,0
222,228,220,light,neutral,24,76,0
216,221,204,light,neutral,22,70,0
240,220,215,light,neutral,3,74,0
244,239,195,light,pure,16,83,0
212,237,230,light,pure,26,80,0
203,227,238,light,pure,30,74,0
211,224,236,light,pure,32,75,0
189,232,216,light,pure,25,73,0
243,216,224,light,pure,1,74,0
246,226,216,light,pure,6,77,0
242,225,210,light,pure,10,77,0
247,204,205,light,pure,3,66,0
232,229,236,light,pure,34,80,0
232,240,226,light,pure,22,84,0
245,229,220,light,pure,7,79,0
232,222,234,light,pure,35,76,0
246,216,215,light,pure,4,73,0
244,217,200,light,pure,9,71,0
238,225,235,light,pure,36,77,0
237,239,203,light,pure,20,82,0
234,236,185,light,pure,19,79,0
236,227,204,light,shaded,13,74,1
229,219,197,light,shaded,16,70,1
236,226,212,light,shaded,11,76,1
227,211,181,light,shaded,14,65,1
202,215,222,light,shaded,30,67,0
193,206,218,light,shaded,31,61,0
232,224,216,light,shaded,10,75,0
208,215,223,light,shaded,33,68,0
243,219,217,light,shaded,4,74,0
230,240,234,light,shaded,24,84,0
224,216,223,light,shaded,36,70,0
233,210,204,light,shaded,5,67,0
229,230,215,light,shaded,22,78,0
213,226,225,light,shaded,28,73,0
224,222,227,light,shaded,35,73,0
239,221,223,light,shaded,2,75,0
236,212,210,light,shaded,3,69,0
219,220,226,light,shaded,34,72,0
199,211,224,light,subdued,32,65,1
209,222,228,light,subdued,29,72,1
240,229,199,light,subdued,15,76,1
195,217,228,light,subdued,31,67,0
235,208,164,light,subdued,14,64,0
239,229,217,light,subdued,12,78,0
196,211,220,light,subdued,30,64,0
191,214,200,light,subdued,25,63,0
211,224,222,light,subdued,27,72,0
206,222,226,light,subdued,28,72,0
220,229,216,light,subdued,23,75,0
218,219,223,light,subdued,33,71,0
223,227,208,light,subdued,21,74,0
234,212,196,light,subdued,9,69,0
238,218,221,light,subdued,2,74,0
221,224,234,light,subdued,34,74,0
237,224,227,light,subdued,1,77,0
243,226,220,light,subdued,3,78,0
239,206,160,midtone,bright,13,63,0
148,200,210,midtone,bright,28,55,0
243,228,167,midtone,bright,17,74,0
238,201,170,midtone,bright,12,62,0
126,163,210,midtone,bright,32,37,0
230,165,127,midtone,bright,9,43,0
143,205,199,midtone,bright,26,53,0
229,160,144,midtone,bright,6,43,0
204,216,122,midtone,bright,20,61,0
186,215,174,midtone,bright,22,60,0
237,170,128,midtone,bright,10,47,0
119,195,180,midtone,bright,25,46,0
213,206,105,midtone,bright,19,57,0
128,196,169,midtone,bright,24,47,0
230,142,150,midtone,bright,3,38,0
239,193,181,midtone,bright,7,59,0
230,157,173,midtone,bright,2,44,0
227,164,184,midtone,bright,1,47,0
209,201,186,midtone,gray,13,58,1
177,170,156,midtone,gray,14,40,1
161,152,139,midtone,gray,11,32,1
169,154,137,midtone,gray,7,34,1
183,166,150,midtone,gray,6,38,1
167,174,165,midtone,gray,21,42,1
156,163,137,midtone,gray,20,34,1
137,160,166,midtone,gray,28,34,1
147,149,129,midtone,gray,19,29,1
151,147,129,midtone,gray,18,29,0
183,169,162,midtone,gray,2,41,0
192,178,177,midtone,gray,1,46,0
143,188,196,midtone,muted,28,46,1
140,195,195,midtone,muted,27,51,1
114,156,194,midtone,muted,31,33,1
136,181,196,midtone,muted,29,43,0
216,166,134,midtone,muted,9,42,0
216,185,140,midtone,muted,12,50,0
223,192,166,midtone,muted,10,55,0
226,195,146,midtone,muted,15,56,0
231,206,181,midtone,muted,11,63,0
194,177,200,midtone,muted,35,47,0
221,166,159,midtone,muted,4,45,0
217,177,159,midtone,muted,7,47,0
236,188,178,midtone,muted,5,56,0
230,194,111,midtone,muted,16,54,0
198,187,104,midtone,muted,19,47,0
214,179,192,midtone,muted,1,50,0
209,148,161,midtone,muted,2,37,0
215,194,117,midtone,muted,18,54,0
198,180,156,midtone,neutral,12,46,1
205,186,153,midtone,neutral,14,48,1
192,175,146,midtone,neutral,16,43,1
181,200,201,midtone,neutral,28,55,1
186,203,196,midtone,neutral,26,57,1
172,175,149,midtone,neutral,20,41,1
168,187,186,midtone,neutral,27,47,1
177,179,190,midtone,neutral,34,45,1
171,181,196,midtone,neutral,33,46,0
189,173,164,midtone,neutral,8,42,0
171,179,158,midtone,neutral,22,43,0
173,198,211,midtone,neutral,30,55,0
179,198,185,midtone,neutral,25,53,0
208,187,176,midtone,neutral,7,51,0
210,187,178,midtone,neutral,6,52,0
202,183,192,midtone,neutral,1,50,0
217,190,188,midtone,neutral,3,55,0
156,212,225,midtone,pure,28,61,1
128,193,226,midtone,pure,29,50,0
181,228,228,midtone,pure,27,71,0
98,165,223,midtone,pure,31,37,0
252,231,154,midtone,pure,15,77,0
128,215,207,midtone,pure,26,59,0
125,174,225,midtone,pure,32,42,0
245,237,174,midtone,pure,17,81,0
247,177,166,midtone,pure,5,52,0
247,197,160,midtone,pure,10,61,0
190,229,190,midtone,pure,23,70,0
173,186,227,midtone,pure,33,51,0
245,200,187,midtone,pure,6,64,0
235,236,167,midtone,pure,18,77,0
213,235,172,midtone,pure,21,75,0
217,230,166,midtone,pure,19,72,0
240,185,169,midtone,pure,7,55,0
231,194,222,midtone,pure,36,62,0
210,188,155,midtone,shaded,12,50,1
205,182,155,midtone,shaded,11,47,1
173,191,200,midtone,shaded,29,51,1
162,183,181,midtone,shaded,27,45,1
195,172,152,midtone,shaded,10,43,1
